temperature,pressure,mass_ratio,H2S_conv,CS2_conv,naphthalene,p_Xylene,toluene,benzene,H2S,methane
10,1,0.42,9.226120356068883e-07,0.0,0.0,0.0,0.0,0.0,36.5281,32.587
20,1,0.42,9.226120356068883e-07,0.0,0.0,0.0,0.0,0.0,36.5281,32.587
30,1,0.42,9.226120356068883e-07,0.0,0.0,0.0,0.0,0.0,36.5281,32.587
40,1,0.42,9.226120356068883e-07,0.0,0.0,0.0,0.0,0.0,36.5281,32.587
50,1,0.42,1.8150089264613062e-06,0.0,0.0,0.0,0.0,0.0,36.528,32.587
60,1,0.42,1.8150089264613062e-06,0.0,0.0,0.0,0.0,0.0,36.528,32.587
70,1,0.42,1.8150089264613062e-06,0.0,0.0,0.0,0.0,0.0,36.528,32.587
80,1,0.42,4.552629888334981e-06,0.0,0.0,0.0,0.0,0.0,36.5279,32.5869
90,1,0.42,7.2902508504031755e-06,0.0,0.0,0.0,0.0,0.0,36.5278,32.5869
100,1,0.42,1.002787181227685e-05,0.0,0.0,0.0,0.0,0.0,36.5277,32.5868
110,1,0.42,1.550311373621872e-05,0.0,0.0,0.0,0.0,0.0,36.5275,32.5867
120,1,0.42,2.0978355660355108e-05,0.0,0.0,0.0,0.0,0.0,36.5273,32.5866
130,1,0.42,3.192883950823885e-05,0.0,0.0,0.0,0.0,0.0,36.5269,32.5864
140,1,0.42,4.2879323356122586e-05,0.0,0.0,0.0,0.0,0.0,36.5265,32.5862
150,1,0.42,6.204267009001639e-05,0.0,0.0,0.0,0.0,0.0,36.5258,32.5859
160,1,0.42,8.394363778578387e-05,0.0,0.0,0.0,0.0,0.0,36.525,32.5855
170,1,0.42,0.0001140574683675614,0.0,0.0,0.0,0.0,0.0,36.5239,32.5849
180,1,0.42,0.0001523841618351545,0.0,0.0,0.0,0.0,0.0,36.5225,32.5842
190,1,0.42,0.00019892371818875764,0.0,0.0,0.0,0.0,0.0,36.5208,32.5834
200,1,0.42,0.00025915137935231275,0.0,0.0,0.0,0.0,0.0,36.5186,32.5823
210,1,0.42,0.0003330671453256252,0.0,0.0,0.0,0.0,0.0,36.5159,32.5809
220,1,0.42,0.00042340863707095785,0.0,0.0,0.0,0.0,0.0,36.5126,32.5793
230,1,0.42,0.0005329134755499898,0.0,0.0,0.0,0.0,0.0,36.5086,32.5773
240,1,0.42,0.0006643192817249836,0.016393442622950862,0.0,0.0,0.0,0.0,36.5039,32.5749
250,1,0.42,0.0008231012975196869,0.019999999999999997,0.0,0.0,0.0,0.0001,36.4984,32.5722
260,1,0.42,0.0010065219019720314,0.038043478260869526,0.0,0.0,0.0001,0.0001,36.4921,32.569
270,1,0.42,0.0012227939579682215,0.06278026905829605,0.0001,0.0,0.0002,0.0002,36.485,32.5655
280,1,0.42,0.0014719174655082573,0.09665427509293686,0.0001,0.0,0.0003,0.0004,36.4772,32.5616
290,1,0.42,0.0017621052874777598,0.13975155279503107,0.0002,0.0001,0.0005,0.0008,36.4688,32.5573
300,1,0.42,0.00209061980291505,0.19109947643979053,0.0004,0.0001,0.0008,0.0012,36.4599,32.5529
